step; process; value
9; 48; 0.65466
9; 49; 0.41522
9; 50; 0.54813
9; 51; 0.62504
9; 52; 0.57258
9; 53; 0.57370
9; 54; 0.37756
9; 55; 0.59916
9; 56; 0.54253
9; 57; 0.59590
9; 58; 0.54586
9; 59; 0.33475
9; 60; 0.41336
9; 61; 0.27183
9; 62; 0.33048
9; 63; 0.48248
10; 0; 0.51080
10; 1; 0.51118
10; 2; 0.26945
10; 3; 0.52856
10; 4; 0.55682
10; 5; 0.49616
10; 6; 0.42379
10; 7; 0.44674
10; 8; 0.52198
10; 9; 0.36336
10; 10; 0.52656
10; 11; 0.40275
10; 12; 0.58298
10; 13; 0.50877
10; 14; 0.49503
10; 15; 0.45898
10; 16; 0.56794
10; 17; 0.63749
10; 18; 0.62565
10; 19; 0.63653
10; 20; 0.64195
10; 21; 0.49228
10; 22; 0.61383
10; 23; 0.66901
10; 24; 0.74530
10; 25; 0.71950
10; 26; 0.51059
10; 27; 0.62331
10; 28; 0.71312
10; 29; 0.42690
10; 30; 0.41894
10; 31; 0.72144
10; 32; 0.57091
10; 33; 0.72847
10; 34; 0.73695
10; 35; 0.60384
10; 36; 0.52538
10; 37; 0.50754
10; 38; 0.49740
10; 39; 0.63794
10; 40; 0.68868
10; 41; 0.41263
10; 42; 0.67708
10; 43; 0.67239
10; 44; 0.68136
10; 45; 0.62170
10; 46; 0.78208
10; 47; 0.58016
10; 48; 0.47223
10; 49; 0.59320
10; 50; 0.44931
10; 51; 0.44417
10; 52; 0.29730
10; 53; 0.46517
10; 54; 0.37026
10; 55; 0.30798
10; 56; 0.28266
10; 57; 0.55407
10; 58; 0.48461
10; 59; 0.51431
10; 60; 0.50536
10; 61; 0.51173
10; 62; 0.51838
10; 63; 0.45978
